Score,Total,Male,Female
800,11959,8072,3887
790,3588,2327,1261
780,3770,2377,1393
770,9663,6340,3323
760,7016,4413,2603
750,10313,6721,3592
740,7542,4612,2930
730,9721,6004,3717
720,7674,4664,3010
710,15694,9508,6186
700,17394,10568,6826
690,21305,12858,8447
680,22953,13552,9401
670,24377,14205,10172
660,27356,15564,11792
650,26303,14685,11618
640,26844,14906,11938
630,28425,15675,12750
620,31515,17018,14497
610,44082,23042,21040
600,33358,17325,16033
590,38788,20170,18618
580,40879,20699,20180
570,51731,25790,25941
560,38232,18782,19450
550,38473,18659,19814
540,54552,26165,28387
530,55065,25373,29692
520,43599,20022,23577
510,45452,20673,24779
500,61084,26823,34261
490,57090,25113,31977
480,40871,17594,23277
470,47521,20181,27340
460,58137,23544,34593
450,50172,20777,29395
440,39180,15576,23604
430,46320,18412,27908
420,47752,18154,29598
410,41915,16052,25863
400,30052,11210,18842
390,32466,12140,20326
380,27135,9984,17151
370,25852,9484,16368
360,23847,8809,15038
350,20800,7755,13045
340,17639,6554,11085
330,14623,5371,9252
320,11400,4295,7105
310,11776,4411,7365
300,8430,3300,5130
290,7358,2898,4460
280,7358,2872,4486
270,3194,1301,1893
260,3495,1375,2120
250,2163,821,1342
240,3278,1303,1975
230,1454,555,899
220,2519,991,1528
210,1221,501,720
200,4265,1868,2397